Site Name,Country,Region,Category,Year Inscribed,Is Endangered,Longitude,Latitude,Area (ha),UNESCO Criteria,Endangered Status (Year),Year Listed Endangered,Delisting Year,Site ID
South China Karst,China,Asia and the Pacific,Natural,2007,Not Endangered,110.3544444,24.92333333,49537,(vii)(viii),,,,1248
Mount Wutai,China,Asia and the Pacific,Cultural,2009,Not Endangered,113.5633333,39.03055556,18415,(ii)(iii)(iv)(vi),,,,1279
Mount Sanqingshan National Park,China,Asia and the Pacific,Natural,2008,Not Endangered,118.0644444,28.91583333,22950,(vii),,,,1292
Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,China,Asia and the Pacific,Cultural,2010,Not Endangered,113.0677194,34.45874722,825,(iii)(vi),,,,1305
West Lake Cultural Landscape of Hangzhou,China,Asia and the Pacific,Cultural,2011,Not Endangered,120.1408333,30.2375,3322.88,(ii)(iii)(vi),,,,1334
China Danxia,China,Asia and the Pacific,Natural,2010,Not Endangered,106.0425,28.42194444,82151,(vii)(viii),,,,1335
Chengjiang Fossil Site,China,Asia and the Pacific,Natural,2012,Not Endangered,102.9772222,24.66888889,512,(viii),,,,1388
Site of Xanadu,China,Asia and the Pacific,Cultural,2012,Not Endangered,116.1851278,42.358,25131.27,(ii)(iii)(iv)(vi),,,,1389
Xinjiang Tianshan,China,Asia and the Pacific,Natural,2013,Not Endangered,80.35416667,41.96833333,606833,(vii)(ix),,,,1414
The Grand Canal,China,Asia and the Pacific,Cultural,2014,Not Endangered,112.4683333,34.69388889,20819.11,(i)(iii)(iv)(vi),,,,1443
Tusi Sites,China,Asia and the Pacific,Cultural,2015,Not Endangered,109.9669444,28.99861111,781.28,(ii)(iii),,,,1474
Zuojiang Huashan Rock Art Cultural Landscape,China,Asia and the Pacific,Cultural,2016,Not Endangered,107.0230556,22.25555556,6621.6,(iii)(vi),,,,1508
Hubei Shennongjia,China,Asia and the Pacific,Natural,2016,Not Endangered,110.2438889,31.46972222,73318,(ix)(x),,,,1509
Qinghai Hoh Xil,China,Asia and the Pacific,Natural,2017,Not Endangered,92.43916667,35.38027778,3735632,(vii)(x),,,,1540
"Kulangsu, a Historic International Settlement",China,Asia and the Pacific,Cultural,2017,Not Endangered,118.0619444,24.4475,316.2,(ii)(iv),,,,1541
Fanjingshan,China,Asia and the Pacific,Natural,2018,Not Endangered,108.68,27.89555556,40275,(x),,,,1559
Archaeological Ruins of Liangzhu City,China,Asia and the Pacific,Cultural,2019,Not Endangered,119.9908333,30.39555556,1433.66,(iii)(iv),,,,1592
Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China (Phase I),China,Asia and the Pacific,Natural,2019,Not Endangered,121.0168139,32.93194444,188643,(x),,,,1606
"Port, Fortresses and Group of Monuments, Cartagena",Colombia,Latin America and the Caribbean,Cultural,1984,Not Endangered,-75.53333333,10.41666667,0,(iv)(vi),,,,285
Los Katíos National Park,Colombia,Latin America and the Caribbean,Natural,1994,Not Endangered,-77,7.666666667,72000,(ix)(x),P 2009-2015,2009,2015,711
Historic Centre of Santa Cruz de Mompox,Colombia,Latin America and the Caribbean,Cultural,1995,Not Endangered,-74.43333333,9.233333333,0,(iv)(v),,,,742
National Archeological Park of Tierradentro,Colombia,Latin America and the Caribbean,Cultural,1995,Not Endangered,-76.03333333,2.583333333,0,(iii),,,,743
San Agustín Archaeological Park,Colombia,Latin America and the Caribbean,Cultural,1995,Not Endangered,-76.23333333,1.916666667,0,(iii),,,,744
Coffee Cultural Landscape of Colombia,Colombia,Latin America and the Caribbean,Cultural,2011,Not Endangered,-75.68166667,5.471666667,141120,(v)(vi),,,,1121
Chiribiquete National Park – “The Maloca of the Jaguar”,Colombia,Latin America and the Caribbean,Mixed,2018,Not Endangered,-72.79722222,0.525277778,2782354,(iii)(ix)(x),,,,1174
Malpelo Fauna and Flora Sanctuary,Colombia,Latin America and the Caribbean,Natural,2006,Not Endangered,-81.61666667,3.966666667,857500,(vii)(ix),,,,1216
Cocos Island National Park,Costa Rica,Latin America and the Caribbean,Natural,1997,Not Endangered,-87.06666667,5.533333333,199790,(ix)(x),,,,820
Area de Conservación Guanacaste,Costa Rica,Latin America and the Caribbean,Natural,1999,Not Endangered,-85.61666667,10.85,147000,(ix)(x),,,,928
Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,Costa Rica,Latin America and the Caribbean,Cultural,2014,Not Endangered,-83.4775,8.911388889,24.73,(iii),,,,1453
Taï National Park,Côte d'Ivoire,Africa,Natural,1982,Not Endangered,-7.66667,5.75,330000,(vii)(x),,,,195
Comoé National Park,Côte d'Ivoire,Africa,Natural,1983,Not Endangered,-4,9,1150000,(ix)(x),P 2003-2017,2003,2017,227
Historic Town of Grand-Bassam,Côte d'Ivoire,Africa,Cultural,2012,Not Endangered,3.736388889,5.195833333,109.89,(iii)(iv),,,,1322
Old City of Dubrovnik,Croatia,Europe and North America,Cultural,1979,Not Endangered,18.09139,42.65056,96.7,(i)(iii)(iv),P 1991-1998,1991,1998,95
Historical Complex of Split with the Palace of Diocletian,Croatia,Europe and North America,Cultural,1979,Not Endangered,16.44333,43.50944,20.8,(ii)(iii)(iv),,,,97
Plitvice Lakes National Park,Croatia,Europe and North America,Natural,1979,Not Endangered,15.61444,44.87778,29630.77,(vii)(viii)(ix),P 1992-1997,1992,1997,98
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,Croatia,Europe and North America,Cultural,1997,Not Endangered,13.59444,45.22917,1.1,(ii)(iii)(iv),,,,809
Historic City of Trogir,Croatia,Europe and North America,Cultural,1997,Not Endangered,16.25167,43.5125,6.4,(ii)(iv),,,,810
The Cathedral of St James in Šibenik,Croatia,Europe and North America,Cultural,2000,Not Endangered,15.89038,43.73629,0.1,(i)(ii)(iv),,,,963
Stari Grad Plain,Croatia,Europe and North America,Cultural,2008,Not Endangered,16.63861111,43.18166667,1376.53,(ii)(iii)(v),,,,1240
Old Havana and its Fortification System,Cuba,Latin America and the Caribbean,Cultural,1982,Not Endangered,-82.35,23.13333333,238.7,(iv)(v),,,,204
Trinidad and the Valley de los Ingenios,Cuba,Latin America and the Caribbean,Cultural,1988,Not Endangered,-79.98444444,21.80305556,0,(iv)(v),,,,460
Alejandro de Humboldt National Park,Cuba,Latin America and the Caribbean,Natural,2001,Not Endangered,-75,20.45,71140,(ix)(x),,,,839
Viñales Valley,Cuba,Latin America and the Caribbean,Cultural,1999,Not Endangered,-83.71667,22.61667,0,(iv),,,,840
"San Pedro de la Roca Castle, Santiago de Cuba",Cuba,Latin America and the Caribbean,Cultural,1997,Not Endangered,-75.87083333,19.96666667,93.88,(iv)(v),,,,841
Desembarco del Granma National Park,Cuba,Latin America and the Caribbean,Natural,1999,Not Endangered,-77.63333,19.88333,41863,(vii)(viii),,,,889
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,Cuba,Latin America and the Caribbean,Cultural,2000,Not Endangered,-75.39138889,20.03,81475,(iii)(iv),,,,1008
Urban Historic Centre of Cienfuegos ,Cuba,Latin America and the Caribbean,Cultural,2005,Not Endangered,-80.45278,22.14722,70,(ii)(iv),,,,1202
Historic Centre of Camagüey,Cuba,Latin America and the Caribbean,Cultural,2008,Not Endangered,-77.91861111,21.37861111,54,(iv)(v),,,,1270
Paphos,Cyprus,Europe and North America,Cultural,1980,Not Endangered,32.40556,34.75833,162.0171,(iii)(vi),,,,79
Painted Churches in the Troodos Region,Cyprus,Europe and North America,Cultural,1985,Not Endangered,33.09583333,34.92027778,3.693,(ii)(iii)(iv),,,,351
Choirokoitia,Cyprus,Europe and North America,Cultural,1998,Not Endangered,33.34333,34.79833,6.2,(ii)(iii)(iv),,,,848
Historic Centre of Prague,Czechia,Europe and North America,Cultural,1992,Not Endangered,14.41944,50.08972,1106.36,(ii)(iv)(vi),,,,616
Historic Centre of Český Krumlov,Czechia,Europe and North America,Cultural,1992,Not Endangered,14.31666667,48.81666667,51.91,(iv),,,,617
Historic Centre of Telč,Czechia,Europe and North America,Cultural,1992,Not Endangered,15.45,49.18333,36,(i)(iv),,,,621
Pilgrimage Church of St John of Nepomuk at Zelená Hora,Czechia,Europe and North America,Cultural,1994,Not Endangered,15.94205833,49.5802,0.64,(iv),,,,690
Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,Czechia,Europe and North America,Cultural,1995,Not Endangered,15.26666667,49.95,62.437,(ii)(iv),,,,732
Lednice-Valtice Cultural Landscape,Czechia,Europe and North America,Cultural,1996,Not Endangered,16.775,48.77583,14320,(i)(ii)(iv),,,,763
Holy Trinity Column in Olomouc,Czechia,Europe and North America,Cultural,2000,Not Endangered,17.25045833,49.59393611,0.05,(i)(iv),,,,859
Gardens and Castle at Kroměříž,Czechia,Europe and North America,Cultural,1998,Not Endangered,17.37722222,49.3,74.5,(ii)(iv),,,,860
Holašovice Historic Village,Czechia,Europe and North America,Cultural,1998,Not Endangered,14.25277778,48.95972222,11.4,(ii)(iv),,,,861
Litomyšl Castle,Czechia,Europe and North America,Cultural,1999,Not Endangered,16.31444,49.87361,4.25,(ii)(iv),,,,901
Tugendhat Villa in Brno,Czechia,Europe and North America,Cultural,2001,Not Endangered,16.61605556,49.20718333,0.73,(ii)(iv),,,,1052
Jewish Quarter and St Procopius' Basilica in Třebíč,Czechia,Europe and North America,Cultural,2003,Not Endangered,15.87888889,49.21722222,6.55,(ii)(iii),,,,1078
Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,Czechia,Europe and North America,Cultural,2019,Not Endangered,15.48425833,50.05665,1310,(iv)(v),,,,1589
Complex of Koguryo Tombs,Democratic People's Republic of Korea,Asia and the Pacific,Cultural,2004,Not Endangered,125.415,38.86305556,232.9,(i)(ii)(iii)(iv),,,,1091
Historic Monuments and Sites in Kaesong,Democratic People's Republic of Korea,Asia and the Pacific,Cultural,2013,Not Endangered,126.5080556,37.98166667,494.2,(ii)(iii),,,,1278
Virunga National Park,Democratic Republic of the Congo,Africa,Natural,1979,Endangered,29.16666667,0.916666667,800000,(vii)(viii)(x),Y 1994,1994,,63
Garamba National Park,Democratic Republic of the Congo,Africa,Natural,1980,Endangered,29.25,4,500000,(vii)(x),Y 1996 P 1984-1992,1996,1992,136
Kahuzi-Biega National Park,Democratic Republic of the Congo,Africa,Natural,1980,Endangered,28.75,-2.5,600000,(x),Y 1997,1997,,137
Salonga National Park,Democratic Republic of the Congo,Africa,Natural,1984,Endangered,21,-2,3600000,(vii)(ix),Y 1999,1999,,280
Okapi Wildlife Reserve,Democratic Republic of the Congo,Africa,Natural,1996,Endangered,28.5,2,1372625,(x),Y 1997,1997,,718
Roskilde Cathedral,Denmark,Europe and North America,Cultural,1995,Not Endangered,12.07972222,55.64222222,0.4,(ii)(iv),,,,695
Kronborg Castle,Denmark,Europe and North America,Cultural,2000,Not Endangered,12.62083333,56.03889,0,(iv),,,,696
"Jelling Mounds, Runic Stones and Church",Denmark,Europe and North America,Cultural,1994,Not Endangered,9.42,55.75638889,12.7,(iii),,,,697
Ilulissat Icefjord,Denmark,Europe and North America,Natural,2004,Not Endangered,-49.5,69.13333333,402400,(vii)(viii),,,,1149
Stevns Klint,Denmark,Europe and North America,Natural,2014,Not Endangered,12.42333333,55.26722222,50,(viii),,,,1416
"Christiansfeld, a Moravian Church Settlement",Denmark,Europe and North America,Cultural,2015,Not Endangered,9.481388889,55.35555556,21.2,(iii)(iv),,,,1468
The par force hunting landscape in North Zealand,Denmark,Europe and North America,Cultural,2015,Not Endangered,12.35777778,55.91361111,4543,(ii)(iv),,,,1469
Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,Denmark,Europe and North America,Cultural,2017,Not Endangered,-45.59805556,61.16444444,34.892,(v),,,,1536
Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,Denmark,Europe and North America,Cultural,2018,Not Endangered,-51.43320556,67.06393056,417800,(v),,,,1557
Morne Trois Pitons National Park,Dominica,Latin America and the Caribbean,Natural,1997,Not Endangered,-61.28333333,15.26666667,6857,(viii)(x),,,,814
Colonial City of Santo Domingo,Dominican Republic,Latin America and the Caribbean,Cultural,1990,Not Endangered,-69.91666667,18.48333333,106,(ii)(iv)(vi),,,,526
Galápagos Islands,Ecuador,Latin America and the Caribbean,Natural,1978,Not Endangered,-91,-0.81667,14066514,(vii)(viii)(ix)(x),P 2007-2010,2007,2010,1
City of Quito,Ecuador,Latin America and the Caribbean,Cultural,1978,Not Endangered,-78.5,-0.003888889,320,(ii)(iv),,,,2
Sangay National Park,Ecuador,Latin America and the Caribbean,Natural,1983,Not Endangered,-78.33333,-1.83333,271925,(vii)(viii)(ix)(x),P 1992-2005,1992,2005,260
Historic Centre of Santa Ana de los Ríos de Cuenca,Ecuador,Latin America and the Caribbean,Cultural,1999,Not Endangered,-78.98333333,-2.883333333,224.14,(ii)(iv)(v),,,,863
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Egypt,Arab States,Cultural,1979,Not Endangered,31.13041,29.97604,16358.52,(i)(iii)(vi),,,,86
Ancient Thebes with its Necropolis,Egypt,Arab States,Cultural,1979,Not Endangered,32.6,25.73333,7390.16,(i)(iii)(vi),,,,87
Nubian Monuments from Abu Simbel to Philae,Egypt,Arab States,Cultural,1979,Not Endangered,31.62580556,22.33722222,374.48,(i)(iii)(vi),,,,88
Historic Cairo,Egypt,Arab States,Cultural,1979,Not Endangered,31.26111,30.05,523.66,(i)(v)(vi),,,,89
Abu Mena,Egypt,Arab States,Cultural,1979,Endangered,29.66666667,30.83583333,182.72,(iv),Y 2001,2001,,90
Saint Catherine Area,Egypt,Arab States,Cultural,2002,Not Endangered,33.97543,28.55623,60100,(i)(iii)(iv)(vi),,,,954
Wadi Al-Hitan (Whale Valley),Egypt,Arab States,Natural,2005,Not Endangered,30.18333,29.33333,20015,(viii),,,,1186
Joya de Cerén Archaeological Site,El Salvador,Latin America and the Caribbean,Cultural,1993,Not Endangered,-89.36916667,13.8275,3200,(iii)(iv),,,,675
Asmara: A Modernist African City,Eritrea,Africa,Cultural,2017,Not Endangered,38.93583333,15.33527778,481,(ii)(iv),,,,1550
Historic Centre (Old Town) of Tallinn,Estonia,Europe and North America,Cultural,1997,Not Endangered,24.73333333,59.43333,113,(ii)(iv),,,,822
Simien National Park,Ethiopia,Africa,Natural,1978,Not Endangered,38.06666667,13.18333333,13600,(vii)(x),P 1996-2017,1996,2017,9
Lower Valley of the Awash,Ethiopia,Africa,Cultural,1980,Not Endangered,40.57939,11.10006,0,(ii)(iii)(iv),,,,10
Tiya,Ethiopia,Africa,Cultural,1980,Not Endangered,38.6121,8.43491,0,(i)(iv),,,,12
Aksum,Ethiopia,Africa,Cultural,1980,Not Endangered,38.71861,14.13019,0,(i)(iv),,,,15
Lower Valley of the Omo,Ethiopia,Africa,Cultural,1980,Not Endangered,35.96666667,4.8,0,(iii)(iv),,,,17
"Rock-Hewn Churches, Lalibela",Ethiopia,Africa,Cultural,1978,Not Endangered,39.04042,12.02935,0,(i)(ii)(iii),,,,18
"Fasil Ghebbi, Gondar Region",Ethiopia,Africa,Cultural,1979,Not Endangered,37.46617,12.60692,0,(ii)(iii),,,,19
"Harar Jugol, the Fortified Historic Town",Ethiopia,Africa,Cultural,2006,Not Endangered,42.13777778,9.308888889,48,(ii)(iii)(iv)(v),,,,1189
Konso Cultural Landscape,Ethiopia,Africa,Cultural,2011,Not Endangered,37.4,5.3,23000,(iii)(v),,,,1333
Levuka Historical Port Town,Fiji,Asia and the Pacific,Cultural,2013,Not Endangered,178.8345333,-17.68337778,69.6,(ii)(iv),,,,1399
Bronze Age Burial Site of Sammallahdenmäki,Finland,Europe and North America,Cultural,1999,Not Endangered,21.7775,61.12056,0,(iii)(iv),,,,579
Old Rauma,Finland,Europe and North America,Cultural,1991,Not Endangered,21.51167,61.12806,29,(iv)(v),,,,582
Fortress of Suomenlinna,Finland,Europe and North America,Cultural,1991,Not Endangered,24.98722,60.14722,210,(iv),,,,583
Petäjävesi Old Church,Finland,Europe and North America,Cultural,1994,Not Endangered,25.18333,62.25,2.98,(iv),,,,584
Verla Groundwood and Board Mill,Finland,Europe and North America,Cultural,1996,Not Endangered,26.64083,61.06194,22.778,(iv),,,,751
Mont-Saint-Michel and its Bay,France,Europe and North America,Cultural,1979,Not Endangered,-1.51056,48.63556,6560,(i)(iii)(vi),,,,80
Chartres Cathedral,France,Europe and North America,Cultural,1979,Not Endangered,1.487222222,48.4475,1.06,(i)(ii)(iv),,,,81
Palace and Park of Versailles,France,Europe and North America,Cultural,1979,Not Endangered,2.119444444,48.805,1070,(i)(ii)(vi),,,,83
"Vézelay, Church and Hill",France,Europe and North America,Cultural,1979,Not Endangered,3.748333333,47.46638889,183,(i)(vi),,,,84
Prehistoric Sites and Decorated Caves of the Vézère Valley,France,Europe and North America,Cultural,1979,Not Endangered,1.17,45.0575,0,(i)(iii),,,,85
Palace and Park of Fontainebleau,France,Europe and North America,Cultural,1981,Not Endangered,2.698055556,48.40194444,144,(ii)(vi),,,,160
Amiens Cathedral,France,Europe and North America,Cultural,1981,Not Endangered,2.301666667,49.895,1.54,(i)(ii),,,,162
"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",France,Europe and North America,Cultural,1981,Not Endangered,4.808416667,44.13572222,9.45,(iii)(vi),,,,163
"Arles, Roman and Romanesque Monuments",France,Europe and North America,Cultural,1981,Not Endangered,4.630694444,43.67763889,65,(ii)(iv),,,,164
Cistercian Abbey of Fontenay,France,Europe and North America,Cultural,1981,Not Endangered,4.38911,47.63944,5.77,(iv),,,,165
"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt ",France,Europe and North America,Cultural,1982,Not Endangered,5.876388889,46.9375,10.48,(i)(ii)(iv),,,,203
"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",France,Europe and North America,Cultural,1995,Not Endangered,4.806111111,43.95277778,8.2,(i)(ii)(iv),,,,228
"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy",France,Europe and North America,Cultural,1983,Not Endangered,6.183333333,48.69361111,7,(i)(iv),,,,229
Abbey Church of Saint-Savin sur Gartempe,France,Europe and North America,Cultural,1983,Not Endangered,0.86611,46.56472,1.61,(i)(iii),,,,230
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",France,Europe and North America,Natural,1983,Not Endangered,8.628833333,42.32519444,11800,(vii)(viii)(x),,,,258
Pont du Gard (Roman Aqueduct),France,Europe and North America,Cultural,1985,Not Endangered,4.535277778,43.94722222,0.3257,(i)(iii)(iv),,,,344
Historic Fortified City of Carcassonne,France,Europe and North America,Cultural,1997,Not Endangered,2.358888889,43.21055556,11,(ii)(iv),,,,345
"Strasbourg, Grande-Île and <em>Neustadt</em>",France,Europe and North America,Cultural,1988,Not Endangered,7.748888889,48.58444444,183,(ii)(iv),,,,495
"Paris, Banks of the Seine",France,Europe and North America,Cultural,1991,Not Endangered,2.294166667,48.85833333,365,(i)(ii)(iv),,,,600
"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",France,Europe and North America,Cultural,1991,Not Endangered,4.032777778,49.25333333,4.16,(i)(ii)(vi),,,,601
Bourges Cathedral,France,Europe and North America,Cultural,1992,Not Endangered,2.398333333,47.08222222,0.85,(i)(iv),,,,635
Canal du Midi,France,Europe and North America,Cultural,1996,Not Endangered,1.416388889,43.61138889,1172,(i)(ii)(iv)(vi),,,,770
Routes of Santiago de Compostela in France,France,Europe and North America,Cultural,1998,Not Endangered,0.722944444,45.18405556,97.21,(ii)(iv)(vi),,,,868
Historic Site of Lyon,France,Europe and North America,Cultural,1998,Not Endangered,4.83333,45.76722,427,(ii)(iv),,,,872
"Provins, Town of Medieval Fairs",France,Europe and North America,Cultural,2001,Not Endangered,3.298888889,48.55972222,108,(ii)(iv),,,,873
Jurisdiction of Saint-Emilion,France,Europe and North America,Cultural,1999,Not Endangered,-0.155277778,44.89472222,7847,(iii)(iv),,,,932
The Loire Valley between Sully-sur-Loire and Chalonnes,France,Europe and North America,Cultural,2000,Not Endangered,0.70278,47.39889,86021,(i)(ii)(iv),,,,933
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,France,Europe and North America,Natural,2008,Not Endangered,164.5663889,-20.41194444,1574300,(vii)(ix)(x),,,,1115
"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape",France,Europe and North America,Cultural,2011,Not Endangered,3.473055556,44.22027778,302319,(iii)(v),,,,1153
"Le Havre, the City Rebuilt by Auguste Perret",France,Europe and North America,Cultural,2005,Not Endangered,0.1075,49.49278,133,(ii)(iv),,,,1181
"Bordeaux, Port of the Moon",France,Europe and North America,Cultural,2007,Not Endangered,-0.572222222,44.83888889,1731,(ii)(iv),,,,1256
Fortifications of Vauban,France,Europe and North America,Cultural,2008,Not Endangered,6.026944444,47.23611111,1153.16,(i)(ii)(iv),,,,1283
"Pitons, cirques and remparts of Reunion Island",France,Europe and North America,Natural,2010,Not Endangered,55.48,-21.09944444,105838,(vii)(x),,,,1317
Episcopal City of Albi,France,Europe and North America,Cultural,2010,Not Endangered,2.1425,43.92833333,19.47,(iv)(v),,,,1337
Nord-Pas de Calais Mining Basin,France,Europe and North America,Cultural,2012,Not Endangered,3.546111111,50.4625,3943,(ii)(iv)(vi),,,,1360
"The Climats, terroirs of Burgundy",France,Europe and North America,Cultural,2015,Not Endangered,4.864444444,47.05805556,13219,(iii)(v),,,,1425
"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche",France,Europe and North America,Cultural,2014,Not Endangered,4.416111111,44.3875,9,(i)(iii),,,,1426
Chaîne des Puys - Limagne fault tectonic arena,France,Europe and North America,Natural,2018,Not Endangered,2.965111111,45.77938889,24223,(viii),,,,1434
"Champagne Hillsides, Houses and Cellars",France,Europe and North America,Cultural,2015,Not Endangered,3.946111111,49.0775,1101.72,(iii)(iv)(vi),,,,1465
Taputapuātea,France,Europe and North America,Cultural,2017,Not Endangered,-151.3723778,-16.8414,2124,(iii)(iv)(vi),,,,1529
French Austral Lands and Seas,France,Europe and North America,Natural,2019,Not Endangered,69.35280556,-49.38036111,67296900,(vii)(ix)(x),,,,1603
Ecosystem and Relict Cultural Landscape of Lopé-Okanda,Gabon,Africa,Mixed,2007,Not Endangered,11.5,-0.5,491291,(iii)(iv)(ix)(x),,,,1147
Kunta Kinteh Island and Related Sites,Gambia (the),Africa,Cultural,2003,Not Endangered,-16.35719444,13.31616667,7.5981,(iii)(vi),,,,761
Historical Monuments of Mtskheta,Georgia,Europe and North America,Cultural,1994,Not Endangered,44.71639,41.84389,3.85,(iii)(iv),P 2009-2016,2009,2016,708
Upper Svaneti,Georgia,Europe and North America,Cultural,1996,Not Endangered,43.01139,42.91639,1.06,(iv)(v),,,,709
Gelati Monastery,Georgia,Europe and North America,Cultural,1994,Not Endangered,42.76833333,42.29472222,4.2,(iv),P 2010-2017,2010,2017,710
Aachen Cathedral ,Germany,Europe and North America,Cultural,1978,Not Endangered,6.084444444,50.77444444,0.2,(i)(ii)(iv)(vi),,,,3
Speyer Cathedral,Germany,Europe and North America,Cultural,1981,Not Endangered,8.443055556,49.31666667,0,(ii),,,,168
Würzburg Residence with the Court Gardens and Residence Square,Germany,Europe and North America,Cultural,1981,Not Endangered,9.93889,49.79278,14.77,(i)(iv),,,,169
St Mary's Cathedral and St Michael's Church at Hildesheim,Germany,Europe and North America,Cultural,1985,Not Endangered,9.94389,52.15278,0.58,(i)(ii)(iii),,,,187
Pilgrimage Church of Wies,Germany,Europe and North America,Cultural,1983,Not Endangered,10.90013889,47.68127778,0.1,(i)(iii),,,,271
Hanseatic City of Lübeck,Germany,Europe and North America,Cultural,1987,Not Endangered,10.69167,53.86667,81.1,(iv),,,,272
Castles of Augustusburg and Falkenlust at Brühl,Germany,Europe and North America,Cultural,1984,Not Endangered,6.909777778,50.82502778,89,(ii)(iv),,,,288
Cologne Cathedral,Germany,Europe and North America,Cultural,1996,Not Endangered,6.957222222,50.94111111,0,(i)(ii)(iv),P 2004-2006,2004,2006,292
"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",Germany,Europe and North America,Cultural,1986,Not Endangered,6.633333333,49.75,0,(i)(iii)(iv)(vi),,,,367
Abbey and Altenmünster of Lorsch,Germany,Europe and North America,Cultural,1991,Not Endangered,8.56858,49.65369,3.34,(iii)(iv),,,,515
Palaces and Parks of Potsdam and Berlin,Germany,Europe and North America,Cultural,1990,Not Endangered,13.03333333,52.4,2064,(i)(ii)(iv),,,,532
Garden Kingdom of Dessau-Wörlitz,Germany,Europe and North America,Cultural,2000,Not Endangered,12.42083,51.8425,14500,(ii)(iv),,,,534
"Collegiate Church, Castle and Old Town of Quedlinburg",Germany,Europe and North America,Cultural,1994,Not Endangered,11.15,51.78333,90,(iv),,,,535
Maulbronn Monastery Complex,Germany,Europe and North America,Cultural,1993,Not Endangered,8.81306,49.00083,0,(ii)(iv),,,,546
"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management  System",Germany,Europe and North America,Cultural,1992,Not Endangered,10.34,51.82,1009.89,(i)(ii)(iii)(iv),,,,623
Town of Bamberg,Germany,Europe and North America,Cultural,1993,Not Endangered,10.88888889,49.89166667,142,(ii)(iv),,,,624
Völklingen Ironworks,Germany,Europe and North America,Cultural,1994,Not Endangered,6.85,49.24444,7.46,(ii)(iv),,,,687
Messel Pit Fossil Site,Germany,Europe and North America,Natural,1995,Not Endangered,8.75389,49.91667,42,(viii),,,,720
"Bauhaus and its Sites in Weimar, Dessau and Bernau",Germany,Europe and North America,Cultural,1996,Not Endangered,11.3295,50.97477778,8.1614,(ii)(iv)(vi),,,,729
Luther Memorials in Eisleben and Wittenberg,Germany,Europe and North America,Cultural,1996,Not Endangered,12.65278,51.86472,0.83,(iv)(vi),,,,783
Classical Weimar,Germany,Europe and North America,Cultural,1998,Not Endangered,11.32861,50.9775,0,(iii)(vi),,,,846
"Museumsinsel (Museum Island), Berlin",Germany,Europe and North America,Cultural,1999,Not Endangered,13.39861111,52.51972222,8.6,(ii)(iv),,,,896
Wartburg Castle,Germany,Europe and North America,Cultural,1999,Not Endangered,10.307,50.96677778,0,(iii)(vi),,,,897
Monastic Island of Reichenau,Germany,Europe and North America,Cultural,2000,Not Endangered,9.061305556,47.69872222,0,(iii)(iv)(vi),,,,974
Zollverein Coal Mine Industrial Complex in Essen,Germany,Europe and North America,Cultural,2001,Not Endangered,7.046111111,51.49138889,0,(ii)(iii),,,,975
Upper Middle Rhine Valley,Germany,Europe and North America,Cultural,2002,Not Endangered,7.694166667,50.17361111,27250,(ii)(iv)(v),,,,1066
Historic Centres of Stralsund and Wismar,Germany,Europe and North America,Cultural,2002,Not Endangered,13.08527778,54.3025,168,(ii)(iv),,,,1067
Town Hall and Roland on the Marketplace of Bremen,Germany,Europe and North America,Cultural,2004,Not Endangered,8.807472222,53.07597222,0.287,(iii)(iv)(vi),,,,1087
Old town of Regensburg with Stadtamhof,Germany,Europe and North America,Cultural,2006,Not Endangered,12.09916667,49.02055556,182.8,(ii)(iii)(iv),,,,1155
Berlin Modernism Housing Estates,Germany,Europe and North America,Cultural,2008,Not Endangered,13.45,52.44833333,88.1,(ii)(iv),,,,1239
Fagus Factory in Alfeld,Germany,Europe and North America,Cultural,2011,Not Endangered,9.811111111,51.98361111,1.88,(ii)(iv),,,,1368
Margravial Opera House Bayreuth,Germany,Europe and North America,Cultural,2012,Not Endangered,11.57861111,49.94444444,0.19,(i)(iv),,,,1379
Bergpark Wilhelmshöhe,Germany,Europe and North America,Cultural,2013,Not Endangered,9.393055556,51.31583333,558.7,(iii)(iv),,,,1413
